num_resets,done,episode_reward_mean,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,False,3,,,1,92edb_00000,df8bc80b48f54e9e8406557396269466,2023-02-01_12-00-06,1675249206,9.298324584960938e-06,9.298324584960938e-06,2031942,acer,192.168.2.198,9.298324584960938e-06,0,1,0.00420069694519043
0,False,3,,,2,92edb_00000,df8bc80b48f54e9e8406557396269466,2023-02-01_12-00-06,1675249206,9.059906005859375e-06,1.8358230590820312e-05,2031942,acer,192.168.2.198,1.8358230590820312e-05,0,2,0.00420069694519043
0,False,3,,,3,92edb_00000,df8bc80b48f54e9e8406557396269466,2023-02-01_12-00-06,1675249206,7.62939453125e-06,2.5987625122070312e-05,2031942,acer,192.168.2.198,2.5987625122070312e-05,0,3,0.00420069694519043
0,False,3,,,4,92edb_00000,df8bc80b48f54e9e8406557396269466,2023-02-01_12-00-06,1675249206,8.344650268554688e-06,3.4332275390625e-05,2031942,acer,192.168.2.198,3.4332275390625e-05,0,4,0.00420069694519043
0,True,3,,,5,92edb_00000,df8bc80b48f54e9e8406557396269466,2023-02-01_12-00-06,1675249206,1.1682510375976562e-05,4.601478576660156e-05,2031942,acer,192.168.2.198,4.601478576660156e-05,0,5,0.00420069694519043
