iter	Logloss
0	0.604228566
1	0.5361770668
2	0.4838085967
3	0.4431536211
4	0.4117171796
5	0.3874742737
6	0.3682049229
7	0.3537129624
8	0.3422924631
9	0.3334296344
10	0.326292936
11	0.320648962
12	0.3160001729
13	0.3127134474
14	0.3098235614
15	0.3074886294
16	0.305671641
17	0.3040994393
18	0.3027343381
19	0.3016402188
20	0.300793495
21	0.2999836701
22	0.299351905
23	0.2987203108
24	0.2981526938
25	0.2975951904
26	0.2970065987
27	0.296768336
28	0.2961405761
29	0.2956831016
30	0.2952473524
31	0.2950045324
32	0.2947257126
33	0.2944205455
34	0.2941133922
35	0.293811063
36	0.2935023107
37	0.2931552388
38	0.2928804073
39	0.2925773727
40	0.2922772528
41	0.2920129298
42	0.2918406604
43	0.2916195
44	0.2912852046
45	0.2911305096
46	0.2909458868
47	0.2907262112
48	0.2904987434
49	0.2902180362
50	0.2900614074
51	0.2897749976
52	0.2894991764
53	0.2893124484
54	0.2890932242
55	0.2889925805
56	0.2885763769
57	0.2883639415
58	0.2880794766
59	0.2878579554
60	0.2876912959
61	0.2874991587
62	0.2873626548
63	0.2870874954
64	0.2868023006
65	0.2867506343
66	0.28657274
67	0.2864216765
68	0.2862058716
69	0.286029324
70	0.285830702
71	0.2856085321
72	0.2854301919
73	0.285239163
74	0.2849333916
75	0.2848159879
76	0.2847107009
77	0.2844581008
78	0.2842524059
79	0.2839339622
80	0.283763417
81	0.2835517515
82	0.283383007
83	0.283140354
84	0.2829144553
85	0.2826532505
86	0.2824695687
87	0.2821507003
88	0.2819940145
89	0.2818129604
90	0.2816411181
91	0.2814318488
92	0.2812715847
93	0.2809161822
94	0.2806697503
95	0.2804748042
96	0.2803278758
97	0.2800813126
98	0.2799349428
99	0.2797802874
100	0.279504925
101	0.2793226519
102	0.2791323191
103	0.2789439994
104	0.2786561025
105	0.2784603371
106	0.278308372
107	0.2780879494
108	0.2779095231
109	0.2776915788
110	0.2775628078
111	0.2773148367
112	0.2770634405
113	0.2768113079
114	0.2766914531
115	0.2765126894
116	0.2763007654
117	0.2761420514
118	0.275997016
119	0.2759051399
120	0.2757647649
121	0.2756836508
122	0.2754920797
123	0.2753563209
124	0.2751801014
125	0.2749492623
126	0.2747082524
127	0.2745819643
128	0.2743526954
129	0.2741240549
130	0.273896878
131	0.2737338239
132	0.2736315474
133	0.2734791806
134	0.2732620954
135	0.2729631682
136	0.2727899383
137	0.2726114439
138	0.272397372
139	0.2722645234
140	0.2719948256
141	0.2718699444
142	0.271765397
143	0.271621276
144	0.2714915276
145	0.2713820916
146	0.2712456952
147	0.2709886255
148	0.2707915295
149	0.2705940026
150	0.2704489241
151	0.2702688907
152	0.2700732872
153	0.2697834399
154	0.2696931191
155	0.2694898071
156	0.2693245075
157	0.2691998561
158	0.2688848066
159	0.2687393323
160	0.2684462349
161	0.2683308447
162	0.2681238547
163	0.2679012942
164	0.2677501262
165	0.2676118596
166	0.2674464218
167	0.2672506203
168	0.2671245709
169	0.2669015801
170	0.2667791042
171	0.2665740955
172	0.2663866703
173	0.2663114964
174	0.2661371667
175	0.2659337722
176	0.2658054122
177	0.265696486
178	0.2655295272
179	0.2654077937
180	0.2652554645
181	0.2650938744
182	0.2648321736
183	0.2646282897
184	0.2645495079
185	0.2643589042
186	0.26417317
187	0.264074693
188	0.2639573051
189	0.2638550362
190	0.2637203752
191	0.2636218126
192	0.2635421129
193	0.2632574752
194	0.2631204637
195	0.2630242381
196	0.2628404972
197	0.2626219163
198	0.262470327
199	0.2624125521
