Date,open,high,low,close
20220102 191000,0.841000,0.841010,0.840990,0.840990,0
20220102 191100,0.840990,0.841030,0.840950,0.841020,0
20220102 191200,0.841000,0.841000,0.840890,0.840890,0
20220102 191300,0.840890,0.840890,0.840850,0.840880,0
20220102 191400,0.840880,0.840890,0.840860,0.840880,0
20220102 191500,0.840870,0.840880,0.840830,0.840880,0
20220102 191600,0.840890,0.840890,0.840790,0.840790,0
20220102 191700,0.840810,0.840880,0.840800,0.840800,0
20220102 191800,0.840790,0.840790,0.840750,0.840750,0
20220102 191900,0.840760,0.840760,0.840740,0.840740,0
20220102 192000,0.840730,0.840740,0.840620,0.840700,0
20220102 192100,0.840700,0.840750,0.840700,0.840740,0
20220102 192200,0.840730,0.840740,0.840730,0.840740,0
20220102 192300,0.840710,0.840720,0.840690,0.840700,0
20220102 192400,0.840700,0.840700,0.840510,0.840520,0
20220102 192500,0.840520,0.840570,0.840520,0.840560,0
20220102 192600,0.840560,0.840590,0.840520,0.840580,0
20220102 192700,0.840580,0.840660,0.840580,0.840640,0
20220102 192800,0.840630,0.840630,0.840550,0.840550,0
20220102 192900,0.840550,0.840580,0.840450,0.840450,0
20220102 193000,0.840440,0.840450,0.840370,0.840390,0
20220102 193100,0.840380,0.840460,0.840380,0.840450,0
20220102 193200,0.840430,0.840490,0.840360,0.840380,0
20220102 193300,0.840380,0.840400,0.840280,0.840310,0
20220102 193400,0.840290,0.840290,0.840210,0.840220,0
20220102 193500,0.840220,0.840230,0.840110,0.840150,0
20220102 193600,0.840140,0.840140,0.840070,0.840100,0
20220102 193700,0.840100,0.840140,0.840090,0.840140,0
20220102 193800,0.840150,0.840180,0.840130,0.840130,0
20220102 193900,0.840120,0.840130,0.840100,0.840110,0
20220102 194000,0.840110,0.840130,0.840030,0.840110,0
20220102 194100,0.840090,0.840110,0.840060,0.840060,0
20220102 194200,0.840070,0.840090,0.840060,0.840080,0
20220102 194300,0.840070,0.840110,0.840070,0.840110,0
20220102 194400,0.840090,0.840150,0.840090,0.840090,0
20220102 194500,0.840070,0.840110,0.840060,0.840110,0
20220102 194600,0.840100,0.840150,0.840090,0.840150,0
20220102 194700,0.840150,0.840160,0.840120,0.840120,0
20220102 194800,0.840140,0.840160,0.840090,0.840150,0
20220102 194900,0.840150,0.840210,0.840140,0.840190,0
20220102 195000,0.840200,0.840320,0.840180,0.840300,0
20220102 195100,0.840300,0.840410,0.840300,0.840370,0
20220102 195200,0.840360,0.840430,0.840360,0.840390,0
20220102 195300,0.840380,0.840390,0.840360,0.840390,0
20220102 195400,0.840380,0.840450,0.840370,0.840440,0
20220102 195500,0.840450,0.840450,0.840370,0.840370,0
20220102 195600,0.840360,0.840400,0.840360,0.840400,0
20220102 195700,0.840400,0.840430,0.840370,0.840420,0
20220102 195800,0.840420,0.840500,0.840420,0.840500,0
20220102 195900,0.840500,0.840530,0.840470,0.840510,0
20220102 200000,0.840510,0.840540,0.840470,0.840520,0
20220102 200100,0.840520,0.840580,0.840520,0.840550,0
20220102 200200,0.840550,0.840630,0.840550,0.840600,0
20220102 200300,0.840600,0.840620,0.840590,0.840590,0
20220102 200400,0.840580,0.840600,0.840560,0.840580,0
20220102 200500,0.840570,0.840570,0.840490,0.840490,0
20220102 200600,0.840480,0.840490,0.840460,0.840480,0
20220102 200700,0.840460,0.840470,0.840380,0.840390,0
20220102 200800,0.840390,0.840410,0.840340,0.840380,0
20220102 200900,0.840380,0.840380,0.840330,0.840330,0
20220102 201000,0.840320,0.840340,0.840300,0.840340,0
20220102 201100,0.840340,0.840340,0.840330,0.840330,0
20220102 201200,0.840320,0.840330,0.840310,0.840310,0
20220102 201300,0.840300,0.840320,0.840270,0.840270,0
20220102 201400,0.840270,0.840280,0.840180,0.840180,0
20220102 201500,0.840180,0.840190,0.840020,0.840020,0
20220102 201600,0.840030,0.840060,0.840010,0.840030,0
20220102 201700,0.840030,0.840070,0.840000,0.840060,0
20220102 201800,0.840060,0.840080,0.840060,0.840080,0
20220102 201900,0.840100,0.840140,0.840020,0.840050,0
20220102 202000,0.840050,0.840050,0.839990,0.840010,0
20220102 202100,0.840020,0.840020,0.839980,0.839980,0
20220102 202200,0.839980,0.840000,0.839950,0.839990,0
20220102 202300,0.839970,0.839970,0.839940,0.839960,0
20220102 202400,0.839960,0.839990,0.839940,0.839940,0
20220102 202500,0.839950,0.839990,0.839950,0.839950,0
20220102 202600,0.840000,0.840040,0.839980,0.839990,0
20220102 202700,0.840000,0.840020,0.839990,0.840020,0
20220102 202800,0.840030,0.840030,0.839990,0.839990,0
20220102 202900,0.839990,0.839990,0.839930,0.839930,0
20220102 203000,0.839940,0.839970,0.839940,0.839960,0
20220102 203100,0.839940,0.839960,0.839910,0.839950,0
20220102 203200,0.839950,0.839980,0.839920,0.839950,0
20220102 203300,0.839940,0.840010,0.839940,0.839990,0
20220102 203400,0.839980,0.840010,0.839950,0.839950,0
20220102 203500,0.839950,0.839980,0.839950,0.839970,0
20220102 203600,0.839970,0.840090,0.839920,0.840090,0
