date,open,high,low,close,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
2023-02-10T20:00:00.000Z,1.20494,1.20581,1.20473,1.20547,1.206492857142857,1.2092638095238095,0.0005239744481821962,0.0025588574753095034,1.2143815244744285,1.2041460945731906,1.2053432794539094,-1.5824552411042132,1.2057780039338668,0.0005705390511886852,1.2001203001627943,-0.00013893696423250473,1.1998241594898704,0.0005737958493365649
2023-02-10T21:00:00.000Z,1.20546,1.20606,1.20518,1.20586,1.20572,1.2089876190476192,0.0006639245478428091,0.002619173031401518,1.2142259651104221,1.2037492729848163,1.2056877598179807,-1.580558952883724,1.2059726812057674,0.0006909925847526881,1.2005328043056838,-0.00014777387082930368,1.2003459562307197,0.0006111676321681158
2023-02-12T22:00:00.000Z,1.20657,1.20664,1.20541,1.2056,1.2054357142857144,1.208729523809524,0.0005773443043721738,0.002715109961910037,1.214159743733344,1.2032993038857038,1.2056292532726596,-1.5818227454011269,1.2061712691065303,0.0008092308539320332,1.200974623725692,-0.00015474322560419152,1.2008976250209213,0.0006312283859720041
2023-02-12T23:00:00.000Z,1.20563,1.20568,1.20468,1.20515,1.2053214285714284,1.2085242857142857,0.0005975209673207971,0.0028244072969292842,1.2141731003081442,1.2028754711204273,1.2053097510908852,-1.5840138600939422,1.2063734365635015,0.0009248817409201941,1.201444137773882,-0.00015975850151706808,1.2014733856654354,0.0006334289751960777
2023-02-13T00:00:00.000Z,1.20514,1.20535,1.20405,1.20488,1.2053171428571428,1.208319523809524,0.00065352257636353,0.0029280553543085167,1.214175634518141,1.2024634131009069,1.205023250363628,-1.5853308370908674,1.2065788329996017,0.0010375815741398434,1.2019395819232503,-0.00016275807671282778,1.2020674841660648,0.0006177271912686013
2023-02-13T01:00:00.000Z,1.20487,1.20527,1.20337,1.2048,1.2052414285714286,1.2081033333333333,0.0007220684135678113,0.0029912051347065318,1.2140857436027463,1.2021209230639203,1.204874416787876,-1.5857213858167838,1.2067870891510055,0.001146976277763918,1.2024590560167114,-0.00016370597456407082,1.2026743252677579,0.0005845876353585514
2023-02-13T02:00:00.000Z,1.20481,1.20528,1.20403,1.20486,1.2052314285714285,1.2078519047619047,0.0007813391405462333,0.0030066086857909557,1.2138651221334866,1.2018386873903228,1.2048648055959588,-1.5854284599737483,1.2069978179554328,0.0012527224875479815,1.2030005332423188,-0.00016259227122620274,1.203288596795891,0.0005349672763820468
2023-02-13T03:00:00.000Z,1.20487,1.20512,1.20416,1.20417,1.205045714285714,1.2075480952380953,0.0007525862865036537,0.002924940440239306,1.2133979761185738,1.2016982143576167,1.2044016018653196,-1.588802298834029,1.2072106155084268,0.0013544886293687987,1.203561869796487,-0.00015943316698806937,1.2039053823941743,0.00047028719932641134
2023-02-13T04:00:00.000Z,1.20418,1.20469,1.20413,1.20444,1.204842857142857,1.2071861904761905,0.0008422286492266728,0.002649464494055945,1.2124851194643023,1.2018872614880787,1.204427200621773,-1.5874807450820585,1.2074250620847409,0.001451955957025275,1.2041408151919837,-0.00015427072221923851,1.2045202596177444,0.0003923914319584265
2023-02-13T05:00:00.000Z,1.20442,1.2051,1.20415,1.20457,1.2046957142857142,1.2067785714285715,0.000879690031269309,0.0025907834620763847,1.2119601383527243,1.2015970045044186,1.2045224002072574,-1.5868450637814662,1.2076407232217314,0.0015448195460311402,1.2047350231635354,-0.00014717226316592747,1.2051293807636698,0.00030349407817214965
