Features,Best Model,Best Model Name,Train Precision,Train Reward,Test Precision,Test Reward,Best Threshold
"('rsi_limit_12h', 'macd_max', 'bb_sqeeze_both_direction', 'williams_limit_4h')","RandomForestClassifier(criterion='entropy', max_depth=5, max_features='log2',
                       min_samples_leaf=2, n_estimators=200, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.6
"('adx_max_48', 'adx_max2', 'williams_break_4h', 'adx')","RandomForestClassifier(class_weight='balanced', criterion='entropy',
                       max_depth=7, max_features='log2', min_samples_leaf=2,
                       min_samples_split=20, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.55
"('rsi_break_4h', 'cci_4h', 'williams_break_4h', 'ema_20_channel')","RandomForestClassifier(max_depth=7, max_features='log2', n_estimators=50,
                       random_state=42)",RandomForestClassifier,1.0,4,0,0,0.6
"('rsi_break_4h', 'adx_max_21', 'adx_max2', 'adx')","RandomForestClassifier(class_weight='balanced', criterion='entropy',
                       min_samples_split=5, n_estimators=50, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.6
"('rsi_limit_4h', 'rsi_convergence', 'ema_20_channel', 'cci')","RandomForestClassifier(max_depth=3, max_features=None, min_samples_leaf=2,
                       min_samples_split=5, random_state=42)",RandomForestClassifier,1.0,1,0,0,0.45
"('adx_max', 'ema_20_channel', 'adx', 'psar')","RandomForestClassifier(class_weight='balanced_subsample', max_depth=7,
                       min_samples_leaf=4, min_samples_split=10,
                       n_estimators=200, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.55
"('adx_max_48', 'cci_4h', 'adx_max_21', 'ema_20_channel')","RandomForestClassifier(criterion='entropy', max_depth=7, max_features='log2',
                       min_samples_split=5, n_estimators=200, random_state=42)",RandomForestClassifier,1.0,2,0,0,0.45
"('macd_max', 'adx_max_21', 'williams_break_4h', 'rsi_convergence')","RandomForestClassifier(class_weight='balanced', max_depth=3, max_features=None,
                       min_samples_split=10, random_state=42)",RandomForestClassifier,1.0,1,0,0,0.55
"('macd_max_12h', 'adx_max_21', 'macd', 'bb_sqeeze_both_direction_4h')","RandomForestClassifier(criterion='entropy', max_depth=7, max_features='log2',
                       min_samples_leaf=2, min_samples_split=5,
                       n_estimators=500, random_state=42)",RandomForestClassifier,0.8888888888888888,7,0,0,0.6
"('adx_max', 'rsi_break_4h', 'macd', 'adx')","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',
                       max_depth=3, min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.6
"('adx_max', 'macd_convergence', 'bb_sqeeze_both_direction_4h', 'rsi_convergence5_40')","RandomForestClassifier(criterion='entropy', max_depth=7, min_samples_split=20,
                       n_estimators=50, random_state=42)",RandomForestClassifier,1.0,4,0,0,0.55
"('adx_max_4h', 'macd_convergence', 'macd', 'adx')","RandomForestClassifier(criterion='entropy', max_depth=5, max_features=None,
                       min_samples_leaf=4, n_estimators=200, random_state=42)",RandomForestClassifier,0.967741935483871,29,0,0,0.5
"('rsi_limit_4h', 'bb_sqeeze_both_direction', 'adx_max2', 'adx')","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',
                       max_depth=3, max_features=None, min_samples_leaf=2,
                       min_samples_split=10, n_estimators=500, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.55
"('adx_max', 'macd_max', 'williams_break_4h', 'ema_20_channel')","RandomForestClassifier(class_weight='balanced_subsample', max_depth=7,
                       max_features=None, min_samples_leaf=2,
                       min_samples_split=10, n_estimators=500, random_state=42)",RandomForestClassifier,1.0,2,0,0,0.6
"('rsi_limit_4h', 'adx_max2', 'ema_10_50', 'adx')","RandomForestClassifier(class_weight='balanced', max_depth=3, min_samples_leaf=4,
                       n_estimators=50, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.55
"('rsi_break_4h', 'cci_4h', 'ema_10_50', 'ema_20_channel')","RandomForestClassifier(max_depth=3, max_features=None, min_samples_split=5,
                       random_state=42)",RandomForestClassifier,1.0,1,0,0,0.6
"('macd_max_4h', 'rsi_slope', 'rsi', 'cci')","RandomForestClassifier(class_weight='balanced_subsample', max_depth=3,
                       max_features=None, min_samples_leaf=2,
                       min_samples_split=5, n_estimators=50, random_state=42)",RandomForestClassifier,1.0,2,0,0,0.6
"('adx_max2', 'ema_10_50', 'ema_20_channel', 'adx')","RandomForestClassifier(class_weight='balanced', max_depth=10,
                       max_features='log2', min_samples_split=10,
                       n_estimators=50, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.6
"('macd_max_4h', 'adx_max_4h', 'macd_convergence', 'adx')","RandomForestClassifier(min_samples_leaf=2, min_samples_split=10,
                       random_state=42)",RandomForestClassifier,0.967741935483871,29,0,0,0.5
"('rsi_limit_4h', 'adx_max2', 'macd_slope_4h', 'adx')","RandomForestClassifier(class_weight='balanced_subsample', max_depth=10,
                       min_samples_leaf=2, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.55
"('adx_max', 'bb_sqeeze_both_direction', 'adx', 'cci')","RandomForestClassifier(class_weight='balanced_subsample', max_depth=5,
                       max_features=None, min_samples_leaf=2, n_estimators=50,
                       random_state=42)",RandomForestClassifier,1.0,5,0,0,0.6
"('macd_convergence', 'adx_max_21', 'macd', 'bb_sqeeze_both_direction_4h')","RandomForestClassifier(criterion='entropy', max_features=None,
                       min_samples_leaf=4, n_estimators=200, random_state=42)",RandomForestClassifier,0.8888888888888888,7,0,0,0.6
"('adx_max', 'ema_10_50', 'adx', 'cci')","RandomForestClassifier(class_weight='balanced', max_depth=10, max_features=None,
                       min_samples_leaf=4, min_samples_split=20,
                       n_estimators=500, random_state=42)",RandomForestClassifier,1.0,5,0,0,0.55
"('macd_max', 'rsi_break_4h', 'ema_10_50', 'ema_20_channel')","RandomForestClassifier(criterion='entropy', min_samples_split=5,
                       n_estimators=50, random_state=42)",RandomForestClassifier,1.0,1,0,0,0.6
"('macd_max', 'ema_10_50', 'rsi', 'psar')","RandomForestClassifier(class_weight='balanced_subsample', max_depth=10,
                       min_samples_split=20, n_estimators=500, random_state=42)",RandomForestClassifier,1.0,2,0,0,0.6
"('macd_max_4h', 'macd_max', 'adx_max2', 'ema_20_channel')","RandomForestClassifier(class_weight='balanced_subsample', max_depth=3,
                       min_samples_split=20, random_state=42)",RandomForestClassifier,1.0,1,0,0,0.55
"('adx_4h', 'macd_max_12h', 'adx_max2', 'adx')","RandomForestClassifier(max_depth=3, min_samples_split=20, n_estimators=200,
                       random_state=42)",RandomForestClassifier,1.0,5,0,0,0.55
"('adx_max_4h', 'williams_limit_4h', 'rsi_convergence', 'rsi_convergence5_40')","RandomForestClassifier(criterion='entropy', max_depth=5, max_features=None,
                       min_samples_leaf=10, min_samples_split=20,
                       random_state=42)",RandomForestClassifier,0.9473684210526315,17,0,0,0.5
"('macd_max', 'macd_convergence', 'rsi_convergence', 'ema_20_channel')","RandomForestClassifier(class_weight='balanced', criterion='entropy',
                       max_depth=7, max_features=None, min_samples_split=10,
                       n_estimators=50, random_state=42)",RandomForestClassifier,1.0,1,0,0,0.6
"('adx_max_4h', 'macd_convergence', 'williams_break_4h', 'adx')","RandomForestClassifier(max_depth=3, max_features=None, random_state=42)",RandomForestClassifier,0.967741935483871,29,0,0,0.45
