;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_classifier__subsample;param_classifier__scale_pos_weight;param_classifier__n_estimators;param_classifier__min_child_weight;param_classifier__max_depth;param_classifier__learning_rate;param_classifier__gamma;param_classifier__colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
49;0.2914877414703369;0.023292287521624575;0.02051835060119629;0.0038423021110194785;1.0;0.5;100;5;5;0.2;0.5;1.0;"{'classifier__subsample': 1.0; 'classifier__scale_pos_weight': 0.5; 'classifier__n_estimators': 100; 'classifier__min_child_weight': 5; 'classifier__max_depth': 5; 'classifier__learning_rate': 0.2; 'classifier__gamma': 0.5; 'classifier__colsample_bytree': 1.0}";0.49577464788732395;0.4197183098591549;0.5126760563380282;0.4830985915492958;0.604225352112676;0.5030985915492957;0.05953866148867242;8
50;0.40516982078552244;0.02917624557028032;0.023200511932373047;0.0036537834201228656;0.8;50.0;100;10;5;0.2;0.5;0.8;"{'classifier__subsample': 0.8; 'classifier__scale_pos_weight': 50; 'classifier__n_estimators': 100; 'classifier__min_child_weight': 10; 'classifier__max_depth': 5; 'classifier__learning_rate': 0.2; 'classifier__gamma': 0.5; 'classifier__colsample_bytree': 0.8}";0.49859154929577465;0.5802816901408451;0.4859154929577465;0.5295774647887324;0.38591549295774646;0.49605633802816895;0.06396537448579905;57
51;0.29610543251037597;0.023835516529468897;0.018212270736694337;0.0013337393881944408;0.8;0.5;100;5;3;0.2;0.0;0.8;"{'classifier__subsample': 0.8; 'classifier__scale_pos_weight': 0.5; 'classifier__n_estimators': 100; 'classifier__min_child_weight': 5; 'classifier__max_depth': 3; 'classifier__learning_rate': 0.2; 'classifier__gamma': 0; 'classifier__colsample_bytree': 0.8}";0.5169014084507042;0.4267605633802817;0.4830985915492958;0.49577464788732395;0.604225352112676;0.5053521126760564;0.057745791820028224;5
52;0.2693957805633545;0.02859865490885338;0.018600893020629884;0.001744220993914927;1.0;5.0;100;1;7;0.2;0.5;0.8;"{'classifier__subsample': 1.0; 'classifier__scale_pos_weight': 5; 'classifier__n_estimators': 100; 'classifier__min_child_weight': 1; 'classifier__max_depth': 7; 'classifier__learning_rate': 0.2; 'classifier__gamma': 0.5; 'classifier__colsample_bytree': 0.8}";0.532394366197183;0.5830985915492958;0.4802816901408451;0.523943661971831;0.4098591549295775;0.5059154929577465;0.058081474217621255;4
53;0.312103796005249;0.08587712262323179;0.019800662994384766;0.0022276475933275734;1.0;0.1;100;10;3;0.2;0.0;0.8;"{'classifier__subsample': 1.0; 'classifier__scale_pos_weight': 0.1; 'classifier__n_estimators': 100; 'classifier__min_child_weight': 10; 'classifier__max_depth': 3; 'classifier__learning_rate': 0.2; 'classifier__gamma': 0; 'classifier__colsample_bytree': 0.8}";0.4915492957746479;0.4169014084507042;0.5140845070422535;0.4704225352112676;0.6140845070422535;0.5014084507042254;0.06489275177009508;10
54;0.4971765041351318;0.05957377935419931;0.020001029968261717;0.0016743690459515939;1.0;1.0;200;5;5;0.01;1.0;0.8;"{'classifier__subsample': 1.0; 'classifier__scale_pos_weight': 1; 'classifier__n_estimators': 200; 'classifier__min_child_weight': 5; 'classifier__max_depth': 5; 'classifier__learning_rate': 0.01; 'classifier__gamma': 1; 'classifier__colsample_bytree': 0.8}";0.5394366197183098;0.4732394366197183;0.4535211267605634;0.5126760563380282;0.4788732394366197;0.4915492957746479;0.030599381665352702;68
55;0.2544306755065918;0.027195062738945126;0.020000791549682616;0.002280604149377662;1.0;0.5;100;5;5;0.2;0.5;0.8;"{'classifier__subsample': 1.0; 'classifier__scale_pos_weight': 0.5; 'classifier__n_estimators': 100; 'classifier__min_child_weight': 5; 'classifier__max_depth': 5; 'classifier__learning_rate': 0.2; 'classifier__gamma': 0.5; 'classifier__colsample_bytree': 0.8}";0.49014084507042255;0.4183098591549296;0.5070422535211268;0.476056338028169;0.6056338028169014;0.4994366197183099;0.06091024157125138;24
56;0.4582665920257568;0.03965236381237665;0.020000171661376954;0.0010973272269067422;1.0;5.0;200;5;3;0.1;0.1;0.8;"{'classifier__subsample': 1.0; 'classifier__scale_pos_weight': 5; 'classifier__n_estimators': 200; 'classifier__min_child_weight': 5; 'classifier__max_depth': 3; 'classifier__learning_rate': 0.1; 'classifier__gamma': 0.1; 'classifier__colsample_bytree': 0.8}";0.4943661971830986;0.5774647887323944;0.48450704225352115;0.5295774647887324;0.38873239436619716;0.4949295774647887;0.06228856320489129;60
57;0.3472536563873291;0.027757840878833616;0.01900773048400879;0.0010950466803803613;0.8;0.1;200;1;3;0.2;1.0;1.0;"{'classifier__subsample': 0.8; 'classifier__scale_pos_weight': 0.1; 'classifier__n_estimators': 200; 'classifier__min_child_weight': 1; 'classifier__max_depth': 3; 'classifier__learning_rate': 0.2; 'classifier__gamma': 1; 'classifier__colsample_bytree': 1.0}";0.4915492957746479;0.4169014084507042;0.5140845070422535;0.4704225352112676;0.6140845070422535;0.5014084507042254;0.06489275177009508;10
58;0.41693840026855467;0.055872718200315946;0.02090601921081543;0.0011199637613760088;0.8;10.0;200;10;3;0.1;1.0;0.8;"{'classifier__subsample': 0.8; 'classifier__scale_pos_weight': 10; 'classifier__n_estimators': 200; 'classifier__min_child_weight': 10; 'classifier__max_depth': 3; 'classifier__learning_rate': 0.1; 'classifier__gamma': 1; 'classifier__colsample_bytree': 0.8}";0.49859154929577465;0.5830985915492958;0.4859154929577465;0.5295774647887324;0.38591549295774646;0.4966197183098592;0.0647127539799774;54
