,action,open_time,opening,close_time,profit,closing,won,intelligent_stop_used,chart_index
0,sell,2023-09-06T11:00:00.000Z,20.1685,2023-09-11T01:45:00.000Z,9.91515474919967,20.0135,True,True,5
1,buy,2023-09-11T05:00:00.000Z,20.0247,2023-09-14T02:55:00.000Z,11.222518676627665,20.1978,True,True,71
2,sell,2023-09-14T10:00:00.000Z,20.2365,,0.0,0.0,False,False,-1
3,buy,2023-09-19T10:00:00.000Z,20.2395,,0.0,0.0,False,False,-1
4,buy,2023-09-19T12:00:00.000Z,20.248,,0.0,0.0,False,False,-1
5,sell,2023-09-19T14:00:00.000Z,20.2353,,0.0,0.0,False,False,-1
6,sell,2023-09-20T17:00:00.000Z,20.239,,0.0,0.0,False,False,-1
7,buy,2023-09-20T18:00:00.000Z,20.2445,,0.0,0.0,False,False,-1
