Features,Best Model,Train Precision,Train Reward,Test Precision,Test Reward,Best Threshold
"('cci_4h', 'adx_max_21', 'adx_max_4h')",XGBClassifier,0.2149321266968326,-252,0.2549019607843137,-50,0.55
"('macd_max', 'macd_zero', 'bb_sqeeze_both_direction_4h')",XGBClassifier,0.19572025052192066,-3498,0.19635627530364372,-900,0.5
"('adx_slope', 'rsi', 'adx_4h')",XGBClassifier,0.21756225425950196,-862,0.21798365122615804,-207,0.55
"('adx_4h', 'macd_slope_4h', 'adx_max_4h')",XGBClassifier,0.2028493894165536,-1752,0.2058011049723757,-426,0.5
"('macd_zero', 'macd', 'macd_max_4h')",XGBClassifier,0.2681564245810056,-166,0.23469387755102042,-52,0.55
"('macd_zero', 'squeeze_momentum', 'ema_10_50')",XGBClassifier,0.4,-2,1.0,1,0.6
"('macd_max', 'macd_zero', 'adx_max_48')",XGBClassifier,0.18524035206499662,-4649,0.18888888888888888,-1176,0.5
"('macd', 'squeeze_momentum', 'macd_slope_4h')",XGBClassifier,0.32222222222222224,-32,0.3157894736842105,-7,0.6
"('adx_slope', 'adx_4h', 'macd_slope_4h')",XGBClassifier,0.18708916231248945,-3713,0.1971350613915416,-888,0.5
"('macd_convergence', 'cci', 'adx_max_4h')",XGBClassifier,0.2627118644067797,-56,0.3870967741935484,-7,0.6
"('bb_sqeeze_both_direction_4h', 'ema_10_50', 'adx')",XGBClassifier,0.17820398831449258,-5067,0.17984189723320157,-1296,0.5
"('macd_zero', 'candle_4h', 'rsi_convergence5_40')",XGBClassifier,0.21263482280431434,-373,0.1641025641025641,-131,0.55
"('adx_slope', 'rsi_convergence', 'adx_4h')",XGBClassifier,0.3586206896551724,-41,0.3617021276595745,-13,0.6
"('adx_slope', 'rsi', 'bb_middle_crossing_4h')",XGBClassifier,0.19789473684210526,-1722,0.19214586255259467,-439,0.55
"('rsi_limit_4h', 'adx_4h', 'adx_max_21')",XGBClassifier,0.2826086956521739,-40,0.32,-9,0.55
"('squeeze_momentum', 'adx_max_21', 'macd_slope')",XGBClassifier,0.34146341463414637,-13,0.125,-6,0.55
"('macd_zero', 'rsi', 'macd_slope')",XGBClassifier,0.18836936483995306,-3719,0.18701298701298702,-964,0.5
"('macd', 'rsi_convergence', 'adx_4h')",XGBClassifier,0.2627551020408163,-186,0.2764227642276423,-55,0.6
"('rsi_break_4h', 'macd_slope_4h', 'adx')",XGBClassifier,0.17468440805185945,-3814,0.1784260515603799,-948,0.5
"('macd_max', 'macd', 'macd_slope')",XGBClassifier,0.1803130254818264,-4943,0.18612952575216726,-1231,0.5
"('macd_convergence', 'squeeze_momentum', 'adx')",XGBClassifier,0.2099337748344371,-876,0.23404255319148937,-225,0.55
"('macd_max', 'cci_4h', 'adx_4h')",XGBClassifier,0.1746987951807229,-6156,0.18559322033898304,-1484,0.5
"('cci', 'rsi_limit_4h', 'ema_20_channel')",XGBClassifier,0.22801788375558868,-365,0.16184971098265896,-117,0.5
"('adx_slope', 'rsi', 'macd')",XGBClassifier,0.24929178470254956,-354,0.29411764705882354,-77,0.55
"('rsi_limit_4h', 'bb_middle_crossing', 'adx')",XGBClassifier,0.25680933852140075,-125,0.22807017543859648,-31,0.6
"('macd', 'adx_max_4h', 'williams_limit_4h')",XGBClassifier,0.20835405271009447,-1173,0.20950323974082075,-269,0.5
"('macd_max', 'rsi', 'rsi_convergence')",XGBClassifier,0.18047493403693932,-3633,0.19410150891632372,-892,0.5
"('adx_slope', 'adx_max_4h', 'williams_limit_4h')",XGBClassifier,0.23315508021390374,-499,0.20930232558139536,-125,0.55
"('squeeze_momentum', 'macd_slope_4h', 'macd_slope')",XGBClassifier,0.30357142857142855,-44,0.28,-11,0.6
"('macd_zero', 'rsi_convergence', 'williams_break')",XGBClassifier,0.3644859813084112,-29,0.3870967741935484,-7,0.6
"('macd_max', 'cci', 'adx_max_4h')",XGBClassifier,0.20424403183023873,-446,0.24855491329479767,-87,0.55
"('squeeze_momentum', 'macd_slope_4h', 'adx_max_4h')",XGBClassifier,0.2572614107883817,-117,0.2903225806451613,-26,0.6
"('rsi_convergence5_40', 'bb_sqeeze_both_direction', 'adx')",XGBClassifier,0.24161073825503357,-77,0.13725490196078433,-37,0.55
"('cci_4h', 'macd_max_4h', 'adx_max_4h')",XGBClassifier,0.24476987447698745,-244,0.3046875,-50,0.55
"('cci_4h', 'rsi', 'adx_max_48')",XGBClassifier,0.2727272727272727,-5,0.4,-1,0.55
"('rsi_convergence', 'bb_middle_crossing_4h', 'macd_slope')",XGBClassifier,0.1781100304833793,-4435,0.18166189111747852,-1111,0.5
"('williams_break', 'macd_slope_4h', 'adx')",XGBClassifier,0.21831955922865015,-818,0.21159420289855072,-199,0.55
"('cci_4h', 'macd', 'macd_slope_4h')",XGBClassifier,0.2826086956521739,-20,0.0,-11,0.6
"('macd', 'rsi_convergence5_40', 'williams_limit_4h')",XGBClassifier,0.20487195502810743,-945,0.1925133689839572,-230,0.55
"('bb_sqeeze_both_direction_4h', 'macd', 'rsi_convergence')",XGBClassifier,0.23119015047879618,-393,0.2559241706161137,-103,0.55
"('macd_max_4h', 'bb_middle_crossing_4h', 'adx_max_4h')",XGBClassifier,0.2076271186440678,-276,0.2661290322580645,-58,0.55
"('adx_max_48', 'williams_break', 'rsi_convergence5_40')",XGBClassifier,0.2857142857142857,-69,0.25,-16,0.6
"('rsi_limit_4h', 'rsi_break_4h', 'bb_middle_crossing')",XGBClassifier,0.22735346358792186,-614,0.22033898305084745,-165,0.55
"('cci', 'squeeze_momentum', 'adx')",XGBClassifier,0.17331875341716785,-4780,0.17608695652173914,-1192,0.5
"('ema_10_50', 'williams_break', 'ema_20_channel')",XGBClassifier,0.17543859649122806,-5883,0.17900172117039587,-1492,0.5
"('cci', 'williams_break', 'bb_sqeeze_both_direction')",XGBClassifier,0.2508833922261484,-141,0.21686746987951808,-47,0.6
"('cci_4h', 'rsi_limit_4h', 'rsi')",XGBClassifier,0.3333333333333333,-3,0.6666666666666666,1,0.55
"('squeeze_momentum', 'adx_max_4h', 'macd_slope')",XGBClassifier,0.21163166397415187,-357,0.24285714285714285,-72,0.55
"('adx_slope', 'bb_middle_crossing_4h', 'williams_limit_4h')",XGBClassifier,0.23315508021390374,-499,0.20930232558139536,-125,0.55
"('cci_4h', 'bb_sqeeze_both_direction_4h', 'rsi')",XGBClassifier,0.17467581998474446,-5118,0.18369401107196778,-1257,0.5
"('bb_sqeeze_both_direction_4h', 'macd_slope', 'adx')",XGBClassifier,0.18020541549953314,-4110,0.18253486961795026,-1047,0.5
"('adx_slope', 'adx_max_21', 'adx_max_4h')",XGBClassifier,0.18775589783583543,-3203,0.19731649565903708,-767,0.5
"('cci_4h', 'macd_max_4h', 'adx_max_21')",XGBClassifier,0.2261072261072261,-235,0.26548672566371684,-53,0.55
"('macd_convergence', 'macd_max_4h', 'adx_max_4h')",XGBClassifier,0.29411764705882354,-28,0.5882352941176471,3,0.55
"('macd_convergence', 'ema_10_50', 'adx_4h')",XGBClassifier,0.24855491329479767,-261,0.26143790849673204,-73,0.6
"('cci', 'bb_sqeeze_both_direction_4h', 'rsi_break_4h')",XGBClassifier,0.1752441277381895,-4922,0.17096265123619148,-1251,0.5
"('macd', 'bb_middle_crossing', 'macd_max_4h')",XGBClassifier,0.2897196261682243,-45,0.2692307692307692,-12,0.6
"('williams_break', 'candle_4h', 'adx_max_4h')",XGBClassifier,0.2786885245901639,-54,0.4090909090909091,-4,0.6
"('macd_max', 'cci_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.1759884281581485,-5376,0.18876080691642652,-1296,0.5
"('adx_slope', 'cci', 'candle_4h')",XGBClassifier,0.20407174018419777,-1221,0.2033271719038817,-321,0.55
"('bb_sqeeze_both_direction_4h', 'rsi', 'adx')",XGBClassifier,0.17396791058229674,-3617,0.17459190915542938,-917,0.5
"('rsi', 'macd_max_4h', 'williams_limit_4h')",XGBClassifier,0.18114406779661016,-2408,0.17937701396348013,-597,0.5
"('macd_zero', 'rsi_convergence5_40', 'williams_limit_4h')",XGBClassifier,0.20696937697993664,-1110,0.18805309734513273,-282,0.55
"('ema_10_50', 'williams_break', 'rsi_convergence5_40')",XGBClassifier,0.2892561983471074,-51,0.23333333333333334,-16,0.55
"('rsi_limit_4h', 'rsi_break_4h', 'ema_20_channel')",XGBClassifier,0.22295081967213115,-338,0.14864864864864866,-104,0.55
"('macd_zero', 'rsi_break_4h', 'adx_4h')",XGBClassifier,0.20058351568198396,-1642,0.20821529745042494,-412,0.55
"('cci', 'rsi_break_4h', 'adx_max_4h')",XGBClassifier,0.17582049564634963,-1936,0.20161290322580644,-444,0.5
"('macd_zero', 'adx_slope', 'rsi_limit_4h')",XGBClassifier,0.27960526315789475,-268,0.2375,-84,0.6
"('bb_sqeeze_both_direction_4h', 'rsi_convergence', 'williams_limit_4h')",XGBClassifier,0.20181219110378912,-724,0.2442528735632184,-178,0.55
"('macd_max', 'adx_max_48', 'adx')",XGBClassifier,0.17430897793014785,-6080,0.18760611205432937,-1472,0.5
"('macd_convergence', 'williams_break', 'adx_max_4h')",XGBClassifier,0.2815533980582524,-135,0.32142857142857145,-30,0.6
"('macd_zero', 'macd_convergence', 'rsi_break_4h')",RandomForestClassifier,0.6666666666666666,8,0.4444444444444444,-1,0.45
"('macd_convergence', 'rsi_limit_4h', 'candle_4h')",XGBClassifier,0.2584541062801932,-200,0.2857142857142857,-51,0.6
"('adx_max_48', 'squeeze_momentum', 'adx_4h')",XGBClassifier,0.17903833370263683,-2897,0.18980667838312829,-706,0.5
"('macd_max', 'adx_4h', 'adx_max_21')",XGBClassifier,0.18405650857719474,-3131,0.1939252336448598,-786,0.5
"('macd_max', 'cci_4h', 'squeeze_momentum')",XGBClassifier,0.17643391521197008,-6228,0.1881720430107527,-1508,0.5
"('cci', 'macd_max_4h', 'ema_20_channel')",XGBClassifier,0.2727272727272727,-65,0.19230769230769232,-32,0.55
"('rsi_break_4h', 'adx_max_48', 'bb_middle_crossing_4h')",XGBClassifier,0.16606584955539533,-5558,0.17937853107344634,-1362,0.5
"('williams_break', 'bb_middle_crossing_4h', 'adx')",XGBClassifier,0.21831955922865015,-818,0.21159420289855072,-199,0.5
"('rsi_break_4h', 'rsi_convergence', 'bb_middle_crossing_4h')",XGBClassifier,0.34782608695652173,-14,0.25,-6,0.6
"('rsi_convergence', 'adx_max_4h', 'williams_limit_4h')",XGBClassifier,0.20181219110378912,-724,0.2442528735632184,-178,0.55
"('cci_4h', 'ema_10_50', 'adx_max_21')",XGBClassifier,0.17431706224809673,-5818,0.1792411687745312,-1471,0.5
"('rsi', 'ema_20_channel', 'bb_middle_crossing_4h')",XGBClassifier,0.3125,-42,0.2,-21,0.6
"('adx_slope', 'adx_max_48', 'bb_middle_crossing_4h')",XGBClassifier,0.18818710929079543,-2893,0.19550173010380623,-704,0.5
"('macd_max_4h', 'bb_middle_crossing_4h', 'adx')",XGBClassifier,0.16793893129770993,-4437,0.1648616125150421,-1114,0.5
"('macd_max', 'bb_sqeeze_both_direction', 'macd_slope')",XGBClassifier,0.3333333333333333,-3,0.0,-2,0.6
"('macd_convergence', 'macd_max_4h', 'rsi_convergence5_40')",XGBClassifier,0.21645663454410674,-765,0.24010554089709762,-197,0.55
"('rsi_convergence', 'ema_20_channel', 'williams_limit_4h')",XGBClassifier,0.2692307692307692,-60,0.2962962962962963,-11,0.6
"('adx_slope', 'candle_4h', 'adx_max_21')",XGBClassifier,0.19777872703972663,-1415,0.20751633986928106,-358,0.55
"('adx_slope', 'bb_sqeeze_both_direction_4h', 'rsi_convergence')",XGBClassifier,0.33707865168539325,-29,0.43478260869565216,-3,0.6
"('ema_20_channel', 'adx_4h', 'adx_max_4h')",XGBClassifier,0.180822885396433,-3615,0.18972895863052783,-870,0.5
"('rsi_break_4h', 'macd_max_4h', 'ema_10_50')",XGBClassifier,0.17431706224809673,-5818,0.1792411687745312,-1471,0.5
"('macd_convergence', 'macd_slope_4h', 'adx_max_4h')",XGBClassifier,0.28888888888888886,-19,0.375,-4,0.6
"('rsi_limit_4h', 'rsi_convergence', 'ema_20_channel')",XGBClassifier,0.2231793265465936,-707,0.20612813370473537,-211,0.55
"('macd_max_4h', 'williams_break', 'adx')",XGBClassifier,0.273972602739726,-66,0.275,-18,0.55
"('macd_zero', 'rsi_limit_4h', 'rsi')",XGBClassifier,0.21720561317876755,-927,0.2107728337236534,-247,0.55
"('adx_max_48', 'bb_middle_crossing', 'squeeze_momentum')",XGBClassifier,0.22735346358792186,-614,0.22033898305084745,-165,0.5
"('squeeze_momentum', 'ema_20_channel', 'candle_4h')",XGBClassifier,0.21271676300578035,-497,0.18518518518518517,-136,0.55
"('macd_convergence', 'bb_middle_crossing', 'adx_4h')",XGBClassifier,0.2620578778135048,-296,0.273224043715847,-83,0.6
"('rsi', 'bb_sqeeze_both_direction', 'adx_max_4h')",XGBClassifier,0.2046783625730994,-303,0.1925925925925926,-83,0.55
"('squeeze_momentum', 'rsi_convergence5_40', 'bb_sqeeze_both_direction')",XGBClassifier,0.17547445255474453,-4446,0.18997668997668998,-1064,0.5
"('macd_max', 'macd_convergence', 'adx_max_4h')",XGBClassifier,0.25,-74,0.425,-6,0.6
"('squeeze_momentum', 'candle_4h', 'adx')",XGBClassifier,0.18255395683453238,-2118,0.1853146853146853,-540,0.5
"('bb_middle_crossing', 'macd_max_4h', 'ema_20_channel')",XGBClassifier,0.27848101265822783,-70,0.3235294117647059,-12,0.6
"('adx_slope', 'rsi_break_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.18802848242100578,-2804,0.20232766338406447,-665,0.5
"('cci_4h', 'macd', 'williams_limit_4h')",XGBClassifier,0.22981366459627328,-261,0.184,-79,0.55
"('rsi_limit_4h', 'macd_max_4h', 'candle_4h')",XGBClassifier,0.17380574651859687,-3701,0.18041958041958042,-914,0.5
"('rsi_limit_4h', 'rsi_convergence', 'macd_slope_4h')",XGBClassifier,0.2490566037735849,-133,0.2564102564102564,-38,0.55
"('squeeze_momentum', 'candle_4h', 'adx_max_4h')",XGBClassifier,0.17559132720105125,-3950,0.1793193717277487,-980,0.5
"('adx_max_48', 'rsi_convergence5_40', 'macd_slope_4h')",XGBClassifier,0.17167315175097275,-4219,0.17903930131004367,-1029,0.5
"('macd_convergence', 'candle_4h', 'adx')",XGBClassifier,0.24918032786885247,-153,0.2727272727272727,-40,0.6
"('macd_max', 'squeeze_momentum', 'candle_4h')",XGBClassifier,0.19844357976653695,-310,0.18333333333333332,-76,0.55
"('adx_4h', 'bb_sqeeze_both_direction', 'adx_max_4h')",RandomForestClassifier,0.6666666666666666,1,1.0,1,0.45
"('macd_convergence', 'ema_10_50', 'adx_max_4h')",XGBClassifier,0.24584717607973422,-153,0.2987012987012987,-31,0.6
"('macd_max', 'macd_max_4h', 'adx_max_4h')",XGBClassifier,0.2191780821917808,-205,0.3176470588235294,-31,0.55
"('rsi_limit_4h', 'rsi_break_4h', 'macd')",XGBClassifier,0.1823157174619463,-3715,0.1899148657498363,-947,0.5
"('macd_convergence', 'macd_slope', 'adx')",XGBClassifier,0.250996015936255,-125,0.23684210526315788,-40,0.6
"('macd_convergence', 'cci_4h', 'rsi_convergence')",XGBClassifier,0.21869488536155202,-638,0.23780487804878048,-172,0.55
"('macd_convergence', 'bb_sqeeze_both_direction', 'macd_slope')",XGBClassifier,0.23294509151414308,-321,0.24539877300613497,-83,0.6
"('macd', 'bb_sqeeze_both_direction', 'adx_max_21')",XGBClassifier,0.17939016247496106,-2881,0.18804920913884007,-710,0.5
"('macd_zero', 'bb_middle_crossing', 'ema_10_50')",XGBClassifier,0.24905183312262957,-397,0.2242152466367713,-123,0.55
"('macd_convergence', 'macd', 'rsi_convergence')",XGBClassifier,0.22424242424242424,-728,0.2545931758530184,-187,0.55
"('bb_sqeeze_both_direction_4h', 'macd', 'macd_max_4h')",XGBClassifier,0.18120023305496213,-3283,0.176056338028169,-828,0.5
"('adx_max_48', 'ema_10_50', 'adx')",XGBClassifier,0.17431706224809673,-5818,0.1792411687745312,-1471,0.45
"('macd', 'ema_10_50', 'bb_sqeeze_both_direction')",XGBClassifier,0.1819553409776705,-4216,0.18716577540106952,-1053,0.5
"('macd_zero', 'cci_4h', 'candle_4h')",XGBClassifier,0.2610062893081761,-152,0.22093023255813954,-48,0.55
"('macd_convergence', 'candle_4h', 'macd_slope')",XGBClassifier,0.2537313432835821,-264,0.2620689655172414,-69,0.6
"('adx_4h', 'macd_slope', 'williams_limit_4h')",XGBClassifier,0.17646302250803858,-5031,0.18406454866364094,-1253,0.5
"('candle_4h', 'adx_max_21', 'adx')",XGBClassifier,0.1739740441950193,-3718,0.18093249826026445,-917,0.5
"('cci_4h', 'bb_sqeeze_both_direction_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.17578705580326984,-4799,0.1815269620928991,-1193,0.5
"('bb_sqeeze_both_direction_4h', 'adx_max_48', 'adx')",XGBClassifier,0.1675933280381255,-6696,0.17513899920571882,-1636,0.5
"('macd_zero', 'cci_4h', 'williams_limit_4h')",XGBClassifier,0.17874753451676528,-5212,0.18173076923076922,-1324,0.5
"('cci', 'cci_4h', 'adx')",XGBClassifier,0.20670897552130554,-647,0.23426573426573427,-152,0.55
"('macd_max', 'williams_break', 'candle_4h')",XGBClassifier,0.3076923076923077,-10,0.0,-6,0.6
"('candle_4h', 'bb_middle_crossing_4h', 'adx_max_21')",XGBClassifier,0.3333333333333333,-6,0.2,-3,0.55
"('macd_max', 'rsi', 'squeeze_momentum')",XGBClassifier,0.23425692695214106,-211,0.2037037037037037,-64,0.55
"('adx_slope', 'cci_4h', 'macd')",XGBClassifier,0.23976608187134502,-89,0.3157894736842105,-14,0.6
"('adx_slope', 'bb_sqeeze_both_direction_4h', 'bb_middle_crossing_4h')",XGBClassifier,0.25157232704402516,-79,0.08888888888888889,-37,0.55
"('cci', 'macd', 'squeeze_momentum')",XGBClassifier,0.32222222222222224,-32,0.3157894736842105,-7,0.6
"('adx_max_48', 'bb_middle_crossing', 'rsi_convergence5_40')",XGBClassifier,0.22735346358792186,-614,0.22033898305084745,-165,0.55
"('adx_slope', 'ema_10_50', 'rsi_convergence5_40')",XGBClassifier,0.25569620253164554,-193,0.205607476635514,-63,0.55
"('macd_max', 'macd_convergence', 'bb_sqeeze_both_direction')",XGBClassifier,0.2410358565737052,-520,0.25524475524475526,-140,0.55
"('adx_slope', 'macd_convergence', 'bb_middle_crossing_4h')",RandomForestClassifier,0.5294117647058824,2,0.2222222222222222,-5,0.45
"('rsi_limit_4h', 'macd_max_4h', 'adx_4h')",XGBClassifier,0.22695035460992907,-77,0.32432432432432434,-13,0.55
"('bb_sqeeze_both_direction_4h', 'rsi_limit_4h', 'rsi_break_4h')",XGBClassifier,0.18105548037889038,-2357,0.1732776617954071,-626,0.5
"('squeeze_momentum', 'williams_break', 'macd_slope_4h')",XGBClassifier,0.25255102040816324,-194,0.2523364485981308,-53,0.6
"('adx_slope', 'macd_max_4h', 'bb_sqeeze_both_direction')",XGBClassifier,0.2582781456953642,-73,0.3191489361702128,-17,0.6
"('cci', 'rsi_convergence', 'williams_limit_4h')",XGBClassifier,0.20334261838440112,-1065,0.2375,-252,0.55
"('adx_max_21', 'macd_slope', 'williams_limit_4h')",XGBClassifier,0.2642857142857143,-66,0.19047619047619047,-26,0.55
"('macd', 'bb_middle_crossing', 'squeeze_momentum')",XGBClassifier,0.27699530516431925,-95,0.288135593220339,-25,0.6
"('cci', 'williams_break', 'rsi_convergence5_40')",XGBClassifier,0.26763990267639903,-191,0.23214285714285715,-60,0.6
"('rsi', 'squeeze_momentum', 'williams_break')",XGBClassifier,0.26126126126126126,-53,0.32,-9,0.6
"('rsi_limit_4h', 'adx_max_48', 'adx_max_21')",XGBClassifier,0.17156077593877914,-3691,0.17364447494852436,-951,0.5
"('cci_4h', 'adx_4h', 'adx_max_21')",XGBClassifier,0.25217391304347825,-57,0.25,-16,0.55
"('rsi_convergence', 'macd_slope_4h', 'adx')",XGBClassifier,0.2391304347826087,-120,0.22857142857142856,-38,0.6
"('macd_zero', 'cci', 'williams_break')",XGBClassifier,0.2782608695652174,-51,0.2553191489361702,-23,0.6
"('rsi_break_4h', 'bb_middle_crossing_4h', 'adx_max_4h')",XGBClassifier,0.1811704834605598,-1253,0.18125,-306,0.5
"('macd', 'squeeze_momentum', 'adx_max_4h')",XGBClassifier,0.34523809523809523,-26,0.35294117647058826,-5,0.55
"('adx_slope', 'rsi_break_4h', 'adx_max_21')",XGBClassifier,0.5384615384615384,1,0.3333333333333333,-1,0.55
"('macd_zero', 'ema_20_channel', 'adx_4h')",XGBClassifier,0.24561403508771928,-29,0.125,-6,0.6
"('cci_4h', 'candle_4h', 'macd_slope_4h')",XGBClassifier,0.297029702970297,-41,0.2727272727272727,-10,0.55
"('squeeze_momentum', 'ema_20_channel', 'adx')",XGBClassifier,0.21096345514950166,-348,0.1888111888111888,-89,0.55
"('macd_zero', 'macd_convergence', 'rsi')",XGBClassifier,0.2489451476793249,-238,0.2571428571428571,-68,0.6
"('macd_max_4h', 'ema_10_50', 'macd_slope_4h')",XGBClassifier,0.2193211488250653,-215,0.1792452830188679,-68,0.55
"('bb_middle_crossing', 'ema_20_channel', 'williams_limit_4h')",XGBClassifier,0.2611464968152866,-75,0.18604651162790697,-27,0.6
"('cci', 'rsi_break_4h', 'macd_slope')",XGBClassifier,0.23484848484848486,-70,0.14285714285714285,-30,0.55
"('ema_10_50', 'bb_sqeeze_both_direction', 'adx')",XGBClassifier,0.18175747863247863,-4766,0.19012987012987012,-1193,0.5
"('rsi', 'adx_max_21', 'adx')",XGBClassifier,0.3333333333333333,-7,0.5714285714285714,1,0.55
"('adx_slope', 'bb_middle_crossing', 'adx_max_21')",XGBClassifier,0.29432624113475175,-116,0.3188405797101449,-25,0.6
"('bb_middle_crossing', 'squeeze_momentum', 'ema_10_50')",XGBClassifier,0.2452153110047847,-426,0.2288135593220339,-128,0.55
"('bb_sqeeze_both_direction_4h', 'rsi', 'macd_max_4h')",XGBClassifier,0.17612480217047252,-2865,0.1767857142857143,-724,0.5
"('macd_max', 'adx_4h', 'adx')",XGBClassifier,0.1760379005111582,-5197,0.18762475049900199,-1252,0.5
"('bb_sqeeze_both_direction_4h', 'adx_max_48', 'ema_20_channel')",XGBClassifier,0.21263482280431434,-373,0.14838709677419354,-109,0.55
"('macd_zero', 'bb_middle_crossing', 'williams_limit_4h')",XGBClassifier,0.21283912877340466,-1503,0.1990811638591118,-393,0.5
"('macd_max', 'rsi_convergence', 'ema_10_50')",XGBClassifier,0.20732797140303844,-655,0.25696594427244585,-157,0.55
"('macd_zero', 'adx_slope', 'bb_sqeeze_both_direction_4h')",XGBClassifier,0.22180293501048218,-1327,0.21585160202360876,-337,0.55
"('cci', 'squeeze_momentum', 'candle_4h')",XGBClassifier,0.20103986135181975,-690,0.2348993288590604,-158,0.55
"('cci_4h', 'rsi', 'bb_sqeeze_both_direction')",XGBClassifier,0.2727272727272727,-5,0.4,-1,0.55
"('cci', 'cci_4h', 'williams_limit_4h')",XGBClassifier,0.19062863795110593,-2126,0.18883610451306412,-524,0.5
"('adx_max_48', 'williams_break', 'ema_20_channel')",XGBClassifier,0.22655601659751037,-659,0.20761245674740483,-169,0.55
"('adx_slope', 'williams_break', 'bb_middle_crossing_4h')",XGBClassifier,0.25,-190,0.23595505617977527,-47,0.6
"('cci', 'squeeze_momentum', 'bb_sqeeze_both_direction')",XGBClassifier,0.3333333333333333,-3,0.0,-1,0.55
"('macd_max_4h', 'ema_20_channel', 'macd_slope')",XGBClassifier,0.36666666666666664,-8,0.2857142857142857,-3,0.6
"('macd_max', 'macd_convergence', 'macd_max_4h')",XGBClassifier,0.21161638901395768,-1281,0.24013157894736842,-316,0.5
"('adx_slope', 'ema_10_50', 'candle_4h')",XGBClassifier,0.2055573097568677,-1865,0.2065081351689612,-469,0.5
"('rsi_limit_4h', 'squeeze_momentum', 'williams_break')",XGBClassifier,0.26126126126126126,-53,0.32,-9,0.6
"('bb_sqeeze_both_direction_4h', 'rsi_convergence', 'macd_slope')",XGBClassifier,0.27472527472527475,-41,0.16666666666666666,-16,0.6
"('macd_zero', 'ema_10_50', 'bb_middle_crossing_4h')",XGBClassifier,0.25806451612903225,-75,0.225,-22,0.55
"('macd_max', 'squeeze_momentum', 'ema_10_50')",XGBClassifier,0.18117383735389206,-5128,0.18813806514341275,-1283,0.5
"('bb_sqeeze_both_direction_4h', 'williams_break', 'macd_slope_4h')",XGBClassifier,0.23494860499265785,-361,0.21893491124260356,-95,0.6
"('macd_max_4h', 'adx_max_21', 'macd_slope')",XGBClassifier,0.22417582417582418,-251,0.16666666666666666,-80,0.55
"('adx_slope', 'cci', 'rsi_convergence5_40')",XGBClassifier,0.24754901960784315,-206,0.19642857142857142,-68,0.55
"('rsi_break_4h', 'rsi_convergence5_40', 'adx')",XGBClassifier,0.2,-498,0.18181818181818182,-154,0.5
"('rsi_limit_4h', 'williams_break', 'rsi_convergence5_40')",XGBClassifier,0.2623762376237624,-96,0.26666666666666666,-21,0.6
"('squeeze_momentum', 'ema_20_channel', 'adx_max_21')",XGBClassifier,0.3037974683544304,-31,0.3125,-6,0.55
"('macd_max', 'macd', 'candle_4h')",XGBClassifier,0.18284013886592826,-3837,0.18484650555192683,-965,0.5
"('bb_middle_crossing', 'rsi_convergence5_40', 'williams_limit_4h')",XGBClassifier,0.22735346358792186,-614,0.22033898305084745,-165,0.55
"('adx_max_48', 'bb_middle_crossing', 'williams_break')",XGBClassifier,0.23125493291239146,-681,0.21739130434782608,-169,0.55
"('macd_max', 'squeeze_momentum', 'rsi_convergence5_40')",XGBClassifier,0.1741288492706645,-6434,0.18491484184914841,-1554,0.5
"('macd_zero', 'cci_4h', 'rsi')",XGBClassifier,0.17874753451676528,-5212,0.18173076923076922,-1324,0.5
"('macd_convergence', 'cci_4h', 'macd_max_4h')",XGBClassifier,0.20710332103321033,-1270,0.23240589198036007,-327,0.5
"('macd_zero', 'cci_4h', 'rsi_break_4h')",XGBClassifier,0.218562874251497,-376,0.19428571428571428,-107,0.55
"('squeeze_momentum', 'adx_max_4h', 'williams_limit_4h')",XGBClassifier,0.18374108053007135,-2482,0.18716577540106952,-585,0.5
"('rsi_break_4h', 'squeeze_momentum', 'macd_slope')",XGBClassifier,0.17858880778588807,-3963,0.17519181585677748,-1016,0.5
"('macd_zero', 'williams_break', 'rsi_convergence5_40')",XGBClassifier,0.281437125748503,-73,0.28205128205128205,-17,0.6
"('cci_4h', 'rsi_convergence', 'adx_max_4h')",XGBClassifier,0.2048861743475847,-1063,0.2345679012345679,-258,0.55
"('cci', 'ema_10_50', 'macd_slope')",XGBClassifier,0.23219814241486067,-346,0.23655913978494625,-98,0.55
"('adx_max_21', 'macd_slope', 'adx')",XGBClassifier,0.18679458239277652,-2220,0.18011049723756906,-579,0.5
"('rsi_limit_4h', 'williams_break', 'adx')",XGBClassifier,0.21831955922865015,-818,0.21159420289855072,-199,0.55
"('cci_4h', 'rsi_limit_4h', 'adx_max_4h')",XGBClassifier,0.18779968034096964,-2344,0.18464730290456433,-608,0.5
"('adx_slope', 'bb_sqeeze_both_direction_4h', 'macd_slope')",XGBClassifier,0.18091957465927813,-4261,0.18433451118963487,-1072,0.5
"('bb_middle_crossing', 'rsi_convergence5_40', 'bb_sqeeze_both_direction')",XGBClassifier,0.20446265938069216,-1298,0.2057335581787521,-349,0.5
"('rsi_break_4h', 'candle_4h', 'macd_slope_4h')",XGBClassifier,0.18248974008207935,-2321,0.18349619978284473,-583,0.5
"('cci', 'macd', 'bb_middle_crossing_4h')",XGBClassifier,0.20714285714285716,-82,0.20833333333333334,-28,0.55
